sim,seed,K,alpha,nt_frac,nt_sub,nt_full,cov_cf,size_cf,cov_adjF,size_adjF
6,48,4,0.1,1.0,12249,12249,0.9025,3.4069,0.8988,3.6673
7,49,4,0.1,0.1,1225,12249,0.9054,3.7393,0.8996,3.6991
7,49,4,0.1,0.2,2450,12249,0.9039,3.6115,0.899,3.7094
7,49,4,0.1,0.3,3675,12249,0.9001,3.5572,0.9084,3.8425
7,49,4,0.1,0.4,4900,12249,0.9065,3.5763,0.9025,3.744
7,49,4,0.1,0.5,6124,12249,0.9036,3.4932,0.902,3.7337
7,49,4,0.1,0.6,7349,12249,0.9031,3.5296,0.9013,3.7322
7,49,4,0.1,0.7,8574,12249,0.9006,3.4682,0.8992,3.7033
7,49,4,0.1,0.8,9799,12249,0.9032,3.4948,0.8992,3.7125
7,49,4,0.1,0.9,11024,12249,0.9015,3.4663,0.9005,3.7293
7,49,4,0.1,1.0,12249,12249,0.9029,3.4687,0.9005,3.7337
8,50,4,0.1,0.1,1225,12249,0.9018,3.646,0.8964,3.6868
8,50,4,0.1,0.2,2450,12249,0.9013,3.5204,0.8961,3.6209
8,50,4,0.1,0.3,3675,12249,0.9043,3.5096,0.897,3.6595
8,50,4,0.1,0.4,4900,12249,0.899,3.4127,0.8973,3.6695
8,50,4,0.1,0.5,6124,12249,0.9045,3.4884,0.895,3.6237
8,50,4,0.1,0.6,7349,12249,0.9031,3.4505,0.8991,3.6877
8,50,4,0.1,0.7,8574,12249,0.9018,3.4383,0.8966,3.6489
8,50,4,0.1,0.8,9799,12249,0.905,3.441,0.8976,3.6697
8,50,4,0.1,0.9,11024,12249,0.9049,3.4546,0.8971,3.6619
8,50,4,0.1,1.0,12249,12249,0.9029,3.4218,0.897,3.6557
9,51,4,0.1,0.1,1225,12249,0.9073,3.7799,0.9105,3.86
9,51,4,0.1,0.2,2450,12249,0.9022,3.5616,0.9025,3.6833
9,51,4,0.1,0.3,3675,12249,0.8988,3.4492,0.9001,3.6751
9,51,4,0.1,0.4,4900,12249,0.9011,3.4377,0.9008,3.6679
9,51,4,0.1,0.5,6124,12249,0.9047,3.4564,0.9032,3.7107
9,51,4,0.1,0.6,7349,12249,0.9056,3.447,0.9033,3.6985
9,51,4,0.1,0.7,8574,12249,0.9016,3.3823,0.9008,3.6687
9,51,4,0.1,0.8,9799,12249,0.9008,3.3907,0.9024,3.7012
9,51,4,0.1,0.9,11024,12249,0.9041,3.4115,0.9033,3.6978
9,51,4,0.1,1.0,12249,12249,0.9013,3.3754,0.9022,3.6931
