Missing,CLF_Cov,CLF_Set,MinPV_Cov,MinPV_Set,Fisher_Cov,Fisher_Set,AdjF_Cov,AdjF_Set,WAvgL_Cov,WAvgL_Set
0,90.494,4.09422,94.34700000000001,5.9609499999999995,81.549,3.21453,90.324,4.49116,96.325,6.20284
1,90.4845,4.199535,93.8005,5.799943333333333,82.63866666666667,3.3804333333333334,90.29983333333332,4.53625,96.14916666666666,6.158595
2,90.44083333333333,4.337503333333333,93.648,5.741511666666667,83.95883333333333,3.5823666666666667,90.30066666666667,4.5761883333333335,95.77833333333334,6.05579
3,90.39733333333334,4.604863333333332,92.82300000000001,5.58669,85.5545,3.9171916666666666,90.24166666666666,4.692256666666666,95.24866666666667,5.982245000000001
4,90.38966666666667,5.123135,92.05883333333333,5.541046666666667,87.6405,4.457818333333334,90.19983333333333,4.917116666666667,94.021,5.8420700000000005
