Sim,K0,Kept,Missing,KeepViews,CLF_Cov,CLF_Set,MinPV_Cov,MinPV_Set,Fisher_Cov,Fisher_Set,AdjF_Cov,AdjF_Set,WAvgL_Cov,WAvgL_Set
8,6,2,4,"[0, 1]",90.58,5.2398,91.47,5.5793,87.07000000000001,4.5318,89.64999999999999,5.0505,93.13,5.8297
8,6,2,4,"[0, 2]",90.77,5.0459,91.97999999999999,5.4865,88.08,4.4785,90.22,4.8968,94.23,5.9419
8,6,2,4,"[3, 5]",90.64,5.2158,92.17,5.6606,88.2,4.5871,89.96,4.9869,94.48,6.0851
9,6,6,0,"[0, 1, 2, 3, 4, 5]",90.49000000000001,4.0188,94.41000000000001,5.9185,81.67999999999999,3.1387,90.4,4.3972,96.48,6.1488
9,6,5,1,"[0, 1, 2, 3, 4]",90.18,4.0482,93.95,5.7326,82.45,3.2579,90.51,4.3768,96.37,6.0161
9,6,5,1,"[0, 1, 2, 3, 5]",90.71000000000001,4.0638,93.91000000000001,5.7287,82.93,3.2758,90.25999999999999,4.399,96.38,6.1117
9,6,5,1,"[0, 1, 2, 4, 5]",90.14,4.1899,93.81,5.8255,82.77,3.3662,90.56,4.5373,96.50999999999999,6.18
9,6,5,1,"[0, 1, 3, 4, 5]",90.58,4.1982,93.82000000000001,5.8226,82.67,3.3751,90.4,4.5277,96.45,6.1765
9,6,5,1,"[0, 2, 3, 4, 5]",90.61,4.117,93.86,5.7444,82.58,3.3243,90.28,4.4771,96.33,6.1643
9,6,5,1,"[1, 2, 3, 4, 5]",90.05,4.0323,94.0,5.7036,82.49,3.2331,90.29,4.3476,96.34,5.9838
9,6,4,2,"[2, 3, 4, 5]",90.31,4.195,93.77,5.6913,83.67,3.4754,90.39,4.4751,95.86,5.9391
9,6,4,2,"[1, 2, 3, 5]",90.53,4.1844,93.7,5.5907,84.04,3.3765,90.42,4.3236,96.24000000000001,5.91
9,6,4,2,"[0, 2, 3, 5]",90.53999999999999,4.1692,93.46,5.6405,84.11,3.4936,90.35,4.4756,96.23,6.1325
9,6,4,2,"[0, 1, 2, 3]",90.36,4.1905,94.03,5.6841,83.83,3.4451,90.44,4.4109,95.84,5.8905
9,6,4,2,"[1, 2, 3, 4]",90.05,4.1336,94.03,5.6369,83.85000000000001,3.3781,90.3,4.326,95.83,5.7379
9,6,4,2,"[0, 1, 3, 5]",91.13,4.3074,93.4,5.701,84.17,3.5666,90.25999999999999,4.5415,96.22,6.1438
9,6,3,3,"[0, 1, 5]",90.42999999999999,4.8823,92.78,5.7681,85.9,4.0924,90.48,4.8936,95.39999999999999,6.1505
9,6,3,3,"[0, 3, 5]",90.94,4.6155,92.5,5.5424,85.72,3.9504,90.27,4.7266,95.82000000000001,6.165
9,6,3,3,"[0, 1, 3]",90.9,4.4308,92.81,5.4676,85.71,3.8146,90.24,4.5751,95.43,5.8949
9,6,3,3,"[0, 3, 4]",90.06,4.4091,92.78,5.5714,85.66,3.8949,90.35,4.6603,95.62,6.0492
9,6,3,3,"[2, 3, 4]",89.97,4.2996,93.17999999999999,5.4105,85.56,3.6829,90.36999999999999,4.4585,94.96,5.6046
9,6,3,3,"[0, 2, 4]",90.08,4.4353,92.57,5.4617,85.92999999999999,3.8614,90.28,4.6032,95.74000000000001,6.0437
9,6,2,4,"[0, 5]",90.98,6.002,91.95,5.9169,87.66000000000001,4.8115,90.51,5.3102,94.19,6.2419
9,6,2,4,"[3, 5]",90.66,4.8471,91.81,5.2687,87.77000000000001,4.3061,90.08,4.7341,94.39999999999999,5.783
9,6,2,4,"[1, 3]",90.77,4.6178,91.75999999999999,5.0438,87.92,4.0436,90.16,4.4302,94.55,5.4467
9,6,2,4,"[1, 2]",90.3,4.7768,92.07,5.1917,87.22,4.0966,90.06,4.5603,93.74,5.3314
9,6,2,4,"[0, 3]",90.9,4.8506,91.7,5.2987,87.69,4.3367,90.09,4.7454,94.64,5.9018
9,6,2,4,"[0, 2]",90.74,4.9644,91.8,5.3093,87.78,4.3455,90.27,4.7913,94.61,5.8341
