nt_frac,cov_lr_mean,cov_lr_std,size_lr_mean,size_lr_std,cov_mlp_mean,cov_mlp_std,size_mlp_mean,size_mlp_std,cov_adjF_mean,cov_adjF_std,size_adjF_mean,size_adjF_std,nt_sub_mean
0.1,0.90582,0.006625003144653337,11.83421,0.9224419505373284,0.9040799999999999,0.004497110183217639,13.021700000000001,1.018954902502232,0.8896499999999999,0.007574702047678889,8.008329999999999,0.5024502828915288,1225.0
0.2,0.9044800000000001,0.005344114103904944,10.04437,0.5892078788980637,0.9052199999999999,0.003117263757421463,10.283629999999999,0.7820144955320342,0.89354,0.004394491501363427,7.9201999999999995,0.44464722596183587,2450.0
0.3,0.90565,0.005264609302798337,9.54917,0.7425389986765377,0.90395,0.004657669899089975,9.32979,0.7561922748584221,0.8964399999999999,0.0036009875188774336,8.03339,0.34862903063284933,3675.0
0.4,0.90384,0.005612129720524982,9.20176,0.7190041109448233,0.9037700000000001,0.004683078284870162,9.06755,0.5560987746994434,0.89733,0.0029013598344377885,7.99889,0.23982081018960816,4900.0
0.5,0.90669,0.0029994258709885807,9.116670000000001,0.5359859534851014,0.90611,0.004927349975166947,8.77017,0.6346854672460478,0.89862,0.0037661651583540344,8.06171,0.3211216711258625,6124.0
0.6,0.90687,0.003542143105208716,8.918000000000001,0.5098048275783805,0.9055300000000001,0.005163773383443094,8.54982,0.5710688901816778,0.8977499999999999,0.0032602828779792234,7.986409999999999,0.3095625172903062,7349.0
0.7,0.90646,0.004261246557314228,8.75516,0.6309719912783592,0.9054400000000001,0.003897349526708284,8.42839,0.709137180663939,0.89876,0.0036074614035049263,8.03853,0.3303458055163135,8574.0
0.8,0.90486,0.004306635706803057,8.43001,0.5024649981176132,0.9065100000000001,0.004855569539771357,8.42643,0.43797731054879524,0.8987,0.003496665077851563,8.02757,0.2853820014958507,9799.0
0.9,0.90594,0.0036887817922874174,8.429829999999999,0.5670118302704688,0.9057999999999999,0.004161997383735612,8.18818,0.537392686548259,0.89853,0.002868623363217957,8.017410000000002,0.3020692431656471,11024.0
1.0,0.9065,0.004741073483693067,8.340810000000001,0.5899407021990527,0.9064399999999999,0.00456878296461736,8.17012,0.5458793085981146,0.89849,0.0030486609082240198,8.01095,0.2938056320842822,12249.0
